Sodium bisulfate,NaHSO4,Na,1,H,1,S,1,O,4
Hypobromous acid,HBrO,H,1,Br,1,O,1
Iron oxide,Fe2O3,Fe,2,O,3
Carbon Disulfide,CS2,C,1,S,2
Barium iodide,BaI2,Ba,1,I,2
Lactic acid,C3H6O3,C,3,H,6,O,3
Phenol,C6H6O,C,6,H,6,O,1
Ammonium nitrate,NH4NO3,N,1,H,4,N,1,O,3
Chromic Oxide,Cr2O3,Cr,2,O,3
Perchloric acid,HClO4,H,1,Cl,1,O,4
Para dichlorobenzene,C6H4Cl2,C,6,H,4,Cl,2
Copper sulfate,CuSO4,Cu,1,S,1,O,4
Nickel sulfate,NiSO4,Ni,1,S,1,O,4
Propane,C3H8,C,3,H,8
Barium bromide,BaBr2,Ba,1,Br,2
Copper(I) Oxide,Cu2O,Cu,2,O,1
Chlorine gas,Cl2,Cl,2
Hypochlorous acid,HClO,H,1,Cl,1,O,1
Lithium chloride,LiCl,Li,1,Cl,1
Calcium acetate,C4H6O4Ca,C,4,H,6,O,4,Ca,1
Sodium sulfide,Na2S,Na,2,S,1
Potassium nitrite,KNO2,K,1,N,1,O,2
Barium chloride,BaCl2,Ba,1,Cl,2
Magnesium iodide,MgI2,Mg,1,I,2
Methane,CH4,C,1,H,4
Benzene,C6H6,C,6,H,6
Aluminum bromide,AlBr3,Al,1,Br,3
Silicon dioxide,SiO2,Si,1,O,2
Sodium fluoride,NaF,Na,1,F,1
Pyridine,C5H5N,C,5,H,5,N,1
Potassium sulfite,K2SO3,K,2,S,1,O,3
Magnesium oxide,MgO,Mg,1,O,1
Formaldehyde,CH2O,C,1,H,2,O,1
Ammonium chloride,NH4Cl,N,1,H,4,Cl,1
Dimethylglyoxime,C4H8N2O2,C,4,H,8,N,2,O,2
Ethylene,C2H4,C,2,H,4
Sodium peroxide,Na2O2,Na,2,O,2
Sulfur Hexafluoride,SF6,S,1,F,6
Silver acetate,AgC2H3O2,Ag,1,C,2,H,3,O,2
Potassium acetate,CH3CO2K,C,1,H,3,C,1,O,2,K,1
Magnesium carbonate,MgCO3,Mg,1,C,1,O,3
Tartaric acid,C4H6O6,C,4,H,6,O,6
Polyurethane Foam,C27H36N2O10,C,27,H,36,N,2,O,10
Ammonium bicarbonate,NH4HCO3,N,1,H,4,H,1,C,1,O,3
Xylene,C8H10,C,8,H,10
Zinc chloride,ZnCl2,Zn,1,Cl,2
Bleach,NaClO,Na,1,Cl,1,O,1
Ammonia,NH3,N,1,H,3
Stearic acid,C18H36O2,C,18,H,36,O,2
Carbon monoxide,CO,C,1,O,1
Dipotassium Phosphate,K2HPO4,K,2,H,1,P,1,O,4
Ammonium iodide,NH4I,N,1,H,4,I,1
Potassium Iodate,KIO3,K,1,I,1,O,3
Benzoic acid,C7H6O2,C,7,H,6,O,2
Aluminum oxide,Al2O3,Al,2,O,3
Phenolphthalein,C20H14O4,C,20,H,14,O,4
Sodium sulfate,Na2SO4,Na,2,S,1,O,4
Ozone,O3,O,3
Diatomic Bromine,Br2,Br,2
Silver carbonate,Ag2CO3,Ag,2,C,1,O,3
Silver nitrate,AgNO3,Ag,1,N,1,O,3
Titanium dioxide,TiO2,Ti,1,O,2
Copper ii carbonate,CuCO3,Cu,1,C,1,O,3
Sodium Percarbonate,C2H6Na4O12,C,2,H,6,Na,4,O,12
Potassium hypochlorite,KClO,K,1,Cl,1,O,1
Lithium iodide,LiI,Li,1,I,1
Hexamine,C6H12N4,C,6,H,12,N,4
Silver chloride,AgCl,Ag,1,Cl,1
Salt,NaCl,Na,1,Cl,1
Hydrobromic acid,HBr,H,1,Br,1
Formic Acid,HCOOH,H,1,C,1,O,1,O,1,H,1
Methyl acetate,C3H6O2,C,3,H,6,O,2
Calcium hydride,CaH2,Ca,1,H,2
Magnesium sulfate,MgSO4,Mg,1,S,1,O,4
Hydrazine,N2H4,N,2,H,4
Nitrogen monoxide,NO,N,1,O,1
Potassium Bromide,KBr,K,1,Br,1
Acetamide,C2H5NO,C,2,H,5,N,1,O,1
Chlorine Trifluoride,ClF3,Cl,1,F,3
Sodium metabisulfite,Na2S2O5,Na,2,S,2,O,5
Barium fluoride,BaF2,Ba,1,F,2
Dihydrogen monoxide,OH2,O,1,H,2
Carbon tetrachloride,CCl4,C,1,Cl,4
Methylene blue,C16H18ClN3S,C,16,H,18,Cl,1,N,3,S,1
Calcium Carbide,CaC2,Ca,1,C,2
Phosphorous Acid,H3PO3,H,3,P,1,O,3
Maleic acid,C4H4O4,C,4,H,4,O,4
Aluminum sulfide,Al2S3,Al,2,S,3
Sodium Chlorate,NaClO3,Na,1,Cl,1,O,3
Bromothymol Blue,C27H28Br2O5S,C,27,H,28,Br,2,O,5,S,1
Methyl Ethyl Ketone,C4H8O,C,4,H,8,O,1
Lithium hydroxide,LiOH,Li,1,O,1,H,1
Methanol,CH3OH,C,1,H,3,O,1,H,1
Sodium Thiosulfate,Na2S2O3,Na,2,S,2,O,3
Aluminum phosphate,AlPO4,Al,1,P,1,O,4
Citric acid,C6H8O7,C,6,H,8,O,7
Tetrachloroethylene,C2Cl4,C,2,Cl,4
Argon gas,Ar,Ar,1
Potassium iodide,KI,K,1,I,1
Chloroacetic acid,C2H3O2Cl,C,2,H,3,O,2,Cl,1
Potassium oxide,K2O,K,2,O,1
Strontium chloride,SrCl2,Sr,1,Cl,2
Mercuric chloride,HgCl2,Hg,1,Cl,2
Ascorbic acid,C6H8O6,C,6,H,8,O,6
Barium oxide,BaO,Ba,1,O,1
Potassium chromate,CrK2O4,Cr,1,K,2,O,4
Potassium dichromate,K2Cr2O7,K,2,Cr,2,O,7
Potassium Thiocyanate,KSCN,K,1,S,1,C,1,N,1
Barium sulfate,BaSO4,Ba,1,S,1,O,4
Potassium fluoride,KF,K,1,F,1
Sucrose,C12H22O11,C,12,H,22,O,11
Aluminum,Al,Al,1
Sodium chloride,NaCl,Na,1,Cl,1
Potassium nitrate,KNO3,K,1,N,1,O,3
Sodium iodide,NaI,Na,1,I,1
Nickel acetate,C4H6O4Ni,C,4,H,6,O,4,Ni,1
Copper (II) chloride,CuCl2,Cu,1,Cl,2
Chromic acid,H2CrO4,H,2,Cr,1,O,4
Butanoic acid,C4H8O2,C,4,H,8,O,2
Toluene,C7H8,C,7,H,8
Butane,C4H10,C,4,H,10
Lithium oxide,Li2O,Li,2,O,1
Ethylene glycol,C2H6O2,C,2,H,6,O,2
Calcium Chloride,CaCl2,Ca,1,Cl,2
Glycerin,C3H8O3,C,3,H,8,O,3
Iodine,I2,I,2
Helium,He,He,1
Sodium nitrite,NaNO2,Na,1,N,1,O,2
Lead (IV) oxide,PbO2,Pb,1,O,2
Acetic acid,CH3COOH,C,1,H,3,C,1,O,1,O,1,H,1
Dimethyl sulfoxide,C2H6OS,C,2,H,6,O,1,S,1
Tannic acid,C76H52O46,C,76,H,52,O,46
