Palladium,Pd,46,60,46,Metal
Osmium,Os,76,114,76,Metal
Argon,Ar,18,22,18,Nonmetal
Selenium,Se,34,45,34,Nonmetal
Krypton,Kr,36,48,36,Nonmetal
Lutetium,Lu,71,104,71,Metal
Einsteinium,Es,99,153,99,Metal
Zinc,Zn,30,35,30,Metal
Xenon,Xe,54,77,54,Nonmetal
Nickel,Ni,28,31,28,Metal
Oxygen,O,8,8,8,Nonmetal
Francium,Fr,87,136,87,Metal
Ruthenium,Ru,44,57,44,Metal
Tellurium,Te,52,76,52,Metalloid
Meitnerium,Mt,109,159,109,Metal
Sulfur,S,16,16,16,Nonmetal
Sodium,Na,11,12,11,Metal
Lithium,Li,3,4,3,Metal
Silicon,Si,14,14,14,Metalloid
Bismuth,Bi,83,126,83,Metal
Thorium,Th,90,142,90,Metal
Niobium,Nb,41,52,41,Metal
Polonium,Po,84,126,84,Metalloid
Thulium,Tm,69,100,69,Metal
Radon,Rn,86,136,86,Metal
Arsenic,As,33,42,33,Metalloid
Roentgenium ,Rg ,111,161,111,Metal
Zirconium,Zr,40,51,40,Metal
Tin,Sn,50,69,50,Metal
Lawrencium,Lr,103,159,103,Metal
Calcium,Ca,20,20,20,Metal
Flerovium,Fl,114,175,114,Metal
Titanium,Ti,22,26,22,Metal
Cadmium,Cd,48,64,48,Metal
Californium,Cf,98,153,98,Metal
Uranium,U,92,146,92,Metal
Rhenium,Re,75,111,75,Metal
Beryllium,Be,4,5,4,Metal
Holmium,Ho,67,98,67,Metal
Wolfram,W,74,110,74,Metal
Fluorine,F,9,10,9,Nonmetal
Aluminum,Al,13,14,13,Metal
Lead,Pb,82,125,82,Metal
Nobelium,No,102,157,102,Metal
Mendelevium,Md,101,157,101,Metal
Bohrium,Bh,107,157,107,Metal
Protactinium,Pa,91,140,91,Metal
Dysprosium,Dy,66,97,66,Metal
Magnesium,Mg,12,12,12,Metal
Tantalum,Ta,73,108,73,Metal
Neon,Ne,10,10,10,Nonmetal
Barium,Ba,56,81,56,Metal
Terbium,Tb,65,94,65,Metal
Dubnium,Db,105,157,105,Metal
Yttrium,Y,39,50,39,Metal
Thallium,Tl,81,123,81,Metal
Hassium,Hs,108,159,108,Metal
Oganesson,Og,118,176,118,Nonmetal
Lanthanum,La,57,82,57,Metal
Strontium,Sr,38,50,38,Metal
Moscovium,Mc,115,173,115,Metal
Helium,He,2,2,2,Nonmetal
Chromium,Cr,24,28,24,Metal
Gold,Au,79,118,79,Metal
Tennessine,Ts,117,178,117,Nonmetal
Iodine,I,53,74,53,Nonmetal
Vanadium,V,23,28,23,Metal
Iron,Fe,26,30,26,Metal
Curium,Cm,96,151,96,Metal
Technetium,Tc,43,55,43,Metal
Nihonium,Nh,113,171,113,Metal
Silver,Ag,47,61,47,Metal
Copper,Cu,29,35,29,Metal
Hafnium,Hf,72,106,72,Metal
Ytterbium,Yb,70,103,70,Metal
Promethium,Pm,61,84,61,Metal
Astatine,At,85,125,85,Nonmetal
Neodymium,Nd,60,84,60,Metal
Americium,Am,95,148,95,Metal
Rhodium,Rh,45,58,45,Metal
Mercury,Hg,80,121,80,Metal
Darmstadtium ,Ds ,110,161,110,Metal
Cobalt,Co,27,32,27,Metal
Fermium,Fm,100,157,100,Metal
Boron,B,5,6,5,Metalloid
Nitrogen,N,7,7,7,Nonmetal
Germanium,Ge,32,41,32,Metalloid
Europium,Eu,63,89,63,Metal
Seaborgium,Sg,106,160,106,Metal
Potassium,K,19,20,19,Metal
Rutherfordium,Rf,104,157,104,Metal
Rubidium,Rb,37,48,37,Metal
Neptunium,Np,93,144,93,Metal
Gallium,Ga,31,39,31,Metal
Antimony,Sb,51,71,51,Metalloid
Indium,In,49,66,49,Metal
Cerium,Ce,58,82,58,Metal
Copernicium ,Cn ,112,173,112,Metal
Erbium,Er,68,99,68,Metal
Samarium,Sm,62,88,62,Metal
Iridium,Ir,77,115,77,Metal
Chlorine,Cl,17,18,17,Nonmetal
Livermorium,Lv,116,176,116,Metal
Molybdenum,Mo,42,54,42,Metal
Cesium,Cs,55,78,55,Metal
Gadolinium,Gd,64,93,64,Metal
Phosphorus,P,15,16,15,Nonmetal
Scandium,Sc,21,24,21,Metal
Actinium,Ac,89,138,89,Metal
Carbon,C,6,6,6,Nonmetal
Radium,Ra,88,138,88,Metal
Praseodymium,Pr,59,82,59,Metal
Berkelium,Bk,97,150,97,Metal
Hydrogen,H,1,0,1,Nonmetal
Platinum,Pt,78,117,78,Metal
Manganese,Mn,25,30,25,Metal
Plutonium,Pu,94,150,94,Metal
Bromine,Br,35,45,35,Nonmetal
